fold,model,calibration,success,rank_violations,calibrated_ties,spearman_raw_calibrated,intercept,coef,a,b_raw,n_thresholds,theta,alpha,beta_inner,b,nll_fit,aic,bic,lambda_left,lambda_right,selection_logloss,method,lambda1,lambda0,penalty,outer_penalty,status,message,n_iter,objective,gradient_norm,boundary_hit,selected_penalty
1,logistic,raw,True,0,11,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,logistic,platt,True,0,11,0.9999999999999999,-3.467967447734885,0.8198569744786791,,,,,,,,,,,,,,,,,,,,,,,,,
1,logistic,beta,True,0,18,0.9999999999820239,-2.201853230556332,,2.1368644463854647,-0.4133685669413913,,,,,,,,,,,,,,,,,,,,,,,
1,logistic,isotonic,True,0,49913,0.9902812072150544,,,,,62.0,,,,,,,,,,,,,,,,,,,,,,
1,logistic,bgb,True,0,33,0.999999999959944,,,7.464433354702881,,,-0.16060633979117914,0.08170069179240877,0.8579699051661938,0.00011256495130612636,2465.8251659494263,4941.6503318988525,4981.167769661533,,,,,,,,,,,,,,,
1,logistic,opbgb_symmetric,True,0,19,0.9999999999779199,,,,,,,,,,,,,0.5,0.5,0.1352643532925123,,,,,,,,,,,,
1,logistic,opbgb_two_sided_unconstrained,True,0,15,0.9999999999918399,,,,,,,,,,,,,0.2,1.0,0.13429011394686413,,,,,,,,,,,,
1,logistic,opbgb_symmetric_monotone,True,0,19,0.9999999999779199,,,4.400515129736969,,,-0.47346480360566595,,,0.1353352832366127,,,,,,0.1353639436530888,monotone_opbgb_symmetric,0.6733650328541317,0.6733650328541317,0.001,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,28.0,0.130097925577635,1.679222938496554e-05,True,0.001
1,logistic,opbgb_two_sided_monotone,True,0,15,0.9999999999918399,,,6.638669790929575,,,-0.8208258278214575,,,0.1353352832366127,,,,,,0.1345740812801404,monotone_opbgb_two_sided,0.1787093532404894,1.066074406306119,0.0001,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,0.12912877985141516,0.00026130156444431065,True,0.0001
1,logistic,nested_selected,True,0,15,0.9999999999918399,,,6.638669790929575,,,-0.8208258278214575,,,0.1353352832366127,,,,,,0.1345740812801404,monotone_opbgb_two_sided,0.1787093532404894,1.066074406306119,0.0001,1e-06,0.0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,34.0,0.12912877985141516,0.00026130156444431065,True,0.0001
1,lightgbm,raw,True,0,453,0.9999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,lightgbm,platt,True,0,453,0.9999999999999999,-2.959530595543146,1.30020638154687,,,,,,,,,,,,,,,,,,,,,,,,,
1,lightgbm,beta,True,0,453,0.9999999999999999,-3.1241272476487287,,1.1918254597135811,-1.380103379541083,,,,,,,,,,,,,,,,,,,,,,,
